Title,Last_moth_purchase,Before_discount_price,After_discount_price
"<span class=""a-size-medium a-color-base a-text-normal"">Apple iPhone 13 (128GB) - Blue</span>",3K+,"59,900","52,999"
"<span class=""a-size-medium a-color-base a-text-normal"">Apple iPhone 15 Plus (128 GB) - Green</span>",50+,"89,900","80,990"
"<span class=""a-size-medium a-color-base a-text-normal"">Apple iPhone 15 (128 GB) - Blue</span>",500+,"79,900","71,990"
"<span class=""a-size-medium a-color-base a-text-normal"">Apple iPhone 15 Plus (128 GB) - Black</span>",200+,"89,900","80,990"
"<span class=""a-size-medium a-color-base a-text-normal"">Apple iPhone 15 (256 GB) - Black</span>",200+,"89,900","80,490"
"<span class=""a-size-medium a-color-base a-text-normal"">Apple iPhone 15 (512 GB) - Pink</span>", ,"1,09,900","99,990"
"<span class=""a-size-medium a-color-base a-text-normal"">Apple iPhone 15 Plus (256 GB) - Blue</span>",100+,"99,900","92,900"
"<span class=""a-size-medium a-color-base a-text-normal"">Apple iPhone 14 (256 GB) - (Product) RED</span>", ,"79,900","65,998"
"<span class=""a-size-medium a-color-base a-text-normal"">Apple iPhone 15 Pro (256 GB) - Natural Titanium</span>",100+,"1,44,900","1,40,990"
"<span class=""a-size-medium a-color-base a-text-normal"">Apple iPhone 15 (256 GB) - Blue</span>",200+,"89,900","80,490"
"<span class=""a-size-medium a-color-base a-text-normal"">Apple iPhone 13 (128GB) - Pink</span>",4K+,"59,900","52,999"
"<span class=""a-size-medium a-color-base a-text-normal"">Apple iPhone 15 Pro Max (256 GB) - Blue Titanium</span>",200+,"1,59,900","1,56,900"
"<span class=""a-size-medium a-color-base a-text-normal"">Apple iPhone 13 (128GB) - (Product) RED</span>",1K+,"59,900","52,490"
"<span class=""a-size-medium a-color-base a-text-normal"">Apple iPhone 15 Plus (256 GB) - Black</span>",100+,"99,900","90,990"
"<span class=""a-size-medium a-color-base a-text-normal"">Apple iPhone 15 (128 GB) - Green</span>", ,"79,990","71,990"
"<span class=""a-size-medium a-color-base a-text-normal"">Apple iPhone 15 Pro (128 GB) - Blue Titanium</span>",50+,"1,34,900","1,30,990"
